mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_w,param_beta,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
38.215548276901245,0.0,3.2612602710723877,0.0,40,0.112,"{'w': 40, 'beta': 0.112}",0.061013752657975484,0.061013752657975484,0.0,85
43.09225869178772,0.0,2.507565975189209,0.0,45,0.112,"{'w': 45, 'beta': 0.112}",0.06101032417118771,0.06101032417118771,0.0,86
38.89161229133606,0.0,5.690980434417725,0.0,50,0.112,"{'w': 50, 'beta': 0.112}",0.060579806121469106,0.060579806121469106,0.0,89
11.387233018875122,0.0,10.271185159683228,0.0,5,0.223,"{'w': 5, 'beta': 0.223}",0.6042487200036697,0.6042487200036697,0.0,1
13.549701929092407,0.0,6.810224294662476,0.0,10,0.223,"{'w': 10, 'beta': 0.223}",0.39225443791389564,0.39225443791389564,0.0,30
10.965581178665161,0.0,11.798347234725952,0.0,15,0.223,"{'w': 15, 'beta': 0.223}",0.37761953056646463,0.37761953056646463,0.0,32
10.813313484191895,0.0,6.511459112167358,0.0,20,0.223,"{'w': 20, 'beta': 0.223}",0.33062174119420223,0.33062174119420223,0.0,74
14.19206953048706,0.0,7.919775724411011,0.0,25,0.223,"{'w': 25, 'beta': 0.223}",0.3286655800200741,0.3286655800200741,0.0,75
10.366211652755737,0.0,8.297861099243164,0.0,30,0.223,"{'w': 30, 'beta': 0.223}",0.3333589212940078,0.3333589212940078,0.0,72
9.842092514038086,0.0,5.034123420715332,0.0,35,0.223,"{'w': 35, 'beta': 0.223}",0.3381072472461951,0.3381072472461951,0.0,71
13.721970796585083,0.0,6.49746036529541,0.0,40,0.223,"{'w': 40, 'beta': 0.223}",0.33268099841938287,0.33268099841938287,0.0,73
9.172848463058472,0.0,4.548025608062744,0.0,45,0.223,"{'w': 45, 'beta': 0.223}",0.21092133018954512,0.21092133018954512,0.0,83
9.454862356185913,0.0,4.636998891830444,0.0,50,0.223,"{'w': 50, 'beta': 0.223}",0.21688978459367741,0.21688978459367741,0.0,82
9.653869152069092,0.0,12.604691743850708,0.0,5,0.334,"{'w': 5, 'beta': 0.334}",0.46778446975102145,0.46778446975102145,0.0,10
12.323941707611084,0.0,10.040057897567749,0.0,10,0.334,"{'w': 10, 'beta': 0.334}",0.5191343710333682,0.5191343710333682,0.0,2
10.308404207229614,0.0,6.311938047409058,0.0,15,0.334,"{'w': 15, 'beta': 0.334}",0.37101330850177117,0.37101330850177117,0.0,40
11.871665000915527,0.0,8.474762439727783,0.0,20,0.334,"{'w': 20, 'beta': 0.334}",0.3960857211800827,0.3960857211800827,0.0,24
10.745405912399292,0.0,9.125910520553589,0.0,25,0.334,"{'w': 25, 'beta': 0.334}",0.36796702158730843,0.36796702158730843,0.0,48
11.079478025436401,0.0,9.172905921936035,0.0,30,0.334,"{'w': 30, 'beta': 0.334}",0.35561026940757917,0.35561026940757917,0.0,59
8.205845594406128,0.0,7.288158655166626,0.0,35,0.334,"{'w': 35, 'beta': 0.334}",0.36017140766852657,0.36017140766852657,0.0,56
7.7247302532196045,0.0,7.03710412979126,0.0,40,0.334,"{'w': 40, 'beta': 0.334}",0.35346639887543274,0.35346639887543274,0.0,60
12.408308029174805,0.0,6.209732294082642,0.0,45,0.334,"{'w': 45, 'beta': 0.334}",0.36547273643236655,0.36547273643236655,0.0,50
8.341870784759521,0.0,5.9812047481536865,0.0,50,0.334,"{'w': 50, 'beta': 0.334}",0.3557266126587301,0.3557266126587301,0.0,58
14.022013425827026,0.0,13.841027021408081,0.0,5,0.445,"{'w': 5, 'beta': 0.445}",0.47086169213340595,0.47086169213340595,0.0,9
10.468871355056763,0.0,8.62278151512146,0.0,10,0.445,"{'w': 10, 'beta': 0.445}",0.49774356668765457,0.49774356668765457,0.0,8
11.608466863632202,0.0,14.269123315811157,0.0,15,0.445,"{'w': 15, 'beta': 0.445}",0.4485316472357228,0.4485316472357228,0.0,13
8.329393148422241,0.0,8.100139141082764,0.0,20,0.445,"{'w': 20, 'beta': 0.445}",0.4048684577338588,0.4048684577338588,0.0,23
8.36240005493164,0.0,9.812463283538818,0.0,25,0.445,"{'w': 25, 'beta': 0.445}",0.351745212181146,0.351745212181146,0.0,61
7.024100065231323,0.0,5.558568477630615,0.0,30,0.445,"{'w': 30, 'beta': 0.445}",0.38637625702284495,0.38637625702284495,0.0,31
7.951648235321045,0.0,5.90630841255188,0.0,35,0.445,"{'w': 35, 'beta': 0.445}",0.3455730262138503,0.3455730262138503,0.0,65
11.05032467842102,0.0,9.406148910522461,0.0,40,0.445,"{'w': 40, 'beta': 0.445}",0.34657782135884907,0.34657782135884907,0.0,64
10.441186904907227,0.0,5.896265268325806,0.0,45,0.445,"{'w': 45, 'beta': 0.445}",0.3627368687576447,0.3627368687576447,0.0,51
11.44711971282959,0.0,6.129609107971191,0.0,50,0.445,"{'w': 50, 'beta': 0.445}",0.36814172376528037,0.36814172376528037,0.0,47
11.399765491485596,0.0,12.726614952087402,0.0,5,0.555,"{'w': 5, 'beta': 0.555}",0.4642469901981049,0.4642469901981049,0.0,11
8.773880243301392,0.0,12.05316948890686,0.0,10,0.555,"{'w': 10, 'beta': 0.555}",0.5178993423734177,0.5178993423734177,0.0,3
10.067519664764404,0.0,8.158942699432373,0.0,15,0.555,"{'w': 15, 'beta': 0.555}",0.3949085401222822,0.3949085401222822,0.0,29
12.88281536102295,0.0,12.808066606521606,0.0,20,0.555,"{'w': 20, 'beta': 0.555}",0.4140262099431481,0.4140262099431481,0.0,18
8.9378182888031,0.0,6.932554006576538,0.0,25,0.555,"{'w': 25, 'beta': 0.555}",0.3501130783354433,0.3501130783354433,0.0,62
9.955158948898315,0.0,6.990677833557129,0.0,30,0.555,"{'w': 30, 'beta': 0.555}",0.3700751024709073,0.3700751024709073,0.0,43
9.930148601531982,0.0,9.527771711349487,0.0,35,0.555,"{'w': 35, 'beta': 0.555}",0.3739611197917853,0.3739611197917853,0.0,33
13.606975078582764,0.0,10.325509071350098,0.0,40,0.555,"{'w': 40, 'beta': 0.555}",0.34348997537324516,0.34348997537324516,0.0,66
13.336916208267212,0.0,5.568882465362549,0.0,45,0.555,"{'w': 45, 'beta': 0.555}",0.3618022532764331,0.3618022532764331,0.0,52
13.586992263793945,0.0,6.437074899673462,0.0,50,0.555,"{'w': 50, 'beta': 0.555}",0.3484256187231895,0.3484256187231895,0.0,63
10.810367345809937,0.0,14.141526460647583,0.0,5,0.666,"{'w': 5, 'beta': 0.666}",0.45019294747671723,0.45019294747671723,0.0,12
9.487070083618164,0.0,10.53055477142334,0.0,10,0.666,"{'w': 10, 'beta': 0.666}",0.5130004957027507,0.5130004957027507,0.0,4
9.135990858078003,0.0,12.346963167190552,0.0,15,0.666,"{'w': 15, 'beta': 0.666}",0.39558032116752456,0.39558032116752456,0.0,25
8.861402750015259,0.0,11.097683906555176,0.0,20,0.666,"{'w': 20, 'beta': 0.666}",0.40865528834474524,0.40865528834474524,0.0,19
12.919532775878906,0.0,6.553184747695923,0.0,25,0.666,"{'w': 25, 'beta': 0.666}",0.3678703059398471,0.3678703059398471,0.0,49
13.182594060897827,0.0,6.396676778793335,0.0,30,0.666,"{'w': 30, 'beta': 0.666}",0.3706676361652176,0.3706676361652176,0.0,41
11.389228105545044,0.0,7.934360980987549,0.0,35,0.666,"{'w': 35, 'beta': 0.666}",0.370638933660987,0.370638933660987,0.0,42
12.75705623626709,0.0,9.668793678283691,0.0,40,0.666,"{'w': 40, 'beta': 0.666}",0.33930630516677507,0.33930630516677507,0.0,70
7.682358264923096,0.0,5.842514276504517,0.0,45,0.666,"{'w': 45, 'beta': 0.666}",0.35998850988312814,0.35998850988312814,0.0,57
12.401977062225342,0.0,8.818604469299316,0.0,50,0.666,"{'w': 50, 'beta': 0.666}",0.3021382182915492,0.3021382182915492,0.0,78
10.597572088241577,0.0,14.276348352432251,0.0,5,0.777,"{'w': 5, 'beta': 0.777}",0.446430304315966,0.446430304315966,0.0,14
11.76540470123291,0.0,13.845945596694946,0.0,10,0.777,"{'w': 10, 'beta': 0.777}",0.5116615501903553,0.5116615501903553,0.0,5
11.667901277542114,0.0,11.588539838790894,0.0,15,0.777,"{'w': 15, 'beta': 0.777}",0.39540410413573224,0.39540410413573224,0.0,26
7.7167158126831055,0.0,8.557978391647339,0.0,20,0.777,"{'w': 20, 'beta': 0.777}",0.4057848294260014,0.4057848294260014,0.0,22
10.842053890228271,0.0,6.418003797531128,0.0,25,0.777,"{'w': 25, 'beta': 0.777}",0.3692541456829382,0.3692541456829382,0.0,44
